symbol,entry_time,exit_time,avg_entry_price,exit_price,quantity,exit_reason,net_pnl,return_pct,duration_hours,entry_count,total_invested,breakeven_triggered,rule,gross_pnl,total_commission,entry_commission,exit_commission
0GUSDT,,,6.590807000000000,6.0635430000000001,212.41707600000001,stop_loss,-113.4784,-8.105600000000001,0.5,7,1400.0,False,Rule 6,,,,
ASTERUSDT,,,1.714497000000000,1.7148399999999999,583.261385000000,breakeven_sl,-0.9001100000000000,-0.09001099999999999,1.9166669999999999,5,1000.0,True,Rule 8,,,,
0GUSDT,,,6.2441,5.744572000000000,32.03023700000000,stop_loss,-16.21120000000000,-8.105600000000001,0.0,1,200.0,False,Rule 8,,,,
STBLUSDT,,,0.3700540000000000,0.3404500000000000,1080.9222540000001,stop_loss,-32.42240000000000,-8.105600000000001,0.08333300000000000,2,400.0,False,Rule 6,,,,
1000RATSUSDT,,,0.02316900000000000,0.02269,94955.98362299999,negative_pnl_8h,-47.84373500000000,-2.1747150000000000,0.8333330000000000,11,2200.0,False,Rule 8,,,,
STBLUSDT,,,0.36606,0.366133000,546.3585200000000,breakeven_sl,-0.18002199999999999,-0.09001099999999999,0.0,1,200.0,True,Rule 8,,,,
SOMIUSDT,,,1.0350680000000001,0.9522630000000000,1932.2399109999999,stop_loss,-162.112,-8.1056,0.8333330000000000,10,2000.0,False,Rule 8,,,,
STBLUSDT,,,0.38953,0.3583680,513.4392730000000,stop_loss,-16.211200000000002,-8.105600000000001,0.0,1,200.0,False,Rule 8,,,,
AVNTUSDT,,,2.1054279999999999,2.0434,1139.910962000000,negative_pnl_8h,-73.3070530000000,-3.0544609999999999,9.0,12,2400.0,False,Rule 8,,,,
ASTERUSDT,,,1.9405030000000001,1.9408909999999999,1236.7927259999999,breakeven_sl,-2.160264000000000,-0.09001099999999999,2.0,12,2400.0,True,Rule 8,,,,
MERLUSDT,,,0.3237030000000000,0.31893,8032.058895000000,negative_pnl_8h,-41.17437200000000,-1.5836300000000001,1.0,13,2600.0,False,Rule 8,,,,
SNXUSDT,,,0.7172100000000000,0.6598330000000000,836.5752240000000,stop_loss,-48.6336,-8.1056,0.16666700000000001,3,600.0,False,Rule 8,,,,
LAUNCHCOINUSDT,,,0.06478600000000000,0.05960300000000000,18522.4795410000,stop_loss,-97.2672,-8.1056,0.5,6,1200.0,False,Rule 8,,,,
ZKCUSDT,,,0.7157,0.7041,279.4466960000000,negative_pnl_8h,-3.4597989999999998,-1.7298990000000001,0.0,1,200.0,False,Rule 8,,,,
0GUSDT,,,5.529197000000000,5.3995,72.34323400000000,negative_pnl_8h,-9.817546000000000,-2.4543870000000001,0.08333300000000000,2,400.0,False,Rule 8,,,,
STBLUSDT,,,0.44079600000000002,0.4408840000000000,9528.217545000000,breakeven_sl,-3.7804620000000000,-0.09001099999999999,5.583333000000000,21,4200.0,True,Rule 8,,,,
INUSDT,,,0.07343,0.0675560,2723.6824190000002,stop_loss,-16.211200000000002,-8.105600000000001,0.0,1,200.0,False,Rule 6,,,,
INUSDT,,,0.08002,0.0736180,2499.3751560000001,stop_loss,-16.211200000000002,-8.105600000000001,0.0,1,200.0,False,Rule 6,,,,
